sno,name,handedness,height,weight,average,HR,ratio,bodytype
1,Tom Brown,R,73,170,0,0,0.429411765,
2,Denny Lemaster,R,73,182,0.13,4,0.401098901,
3,Joe Nolan,L,71,175,0.263,27,0.405714286,
4,Denny Doyle,L,69,175,0.25,16,0.394285714,
5,Jose Cardenal,R,70,150,0.275,138,0.466666667,
6,Mike Ryan,R,74,205,0.193,28,0.36097561,
7,Fritz Peterson,B,72,185,0.159,2,0.389189189,
8,Dick Bertell,R,72,200,0.25,10,0.36,
9,Rod Kanehl,R,73,180,0.241,6,0.405555556,
10,Ozzie Osborn,R,74,195,0,0,0.379487179,
11,John LaRose,L,73,185,0,0,0.394594595,
12,Jeff Byrd,R,75,195,0,0,0.384615385,
13,Juan Bonilla,R,69,170,0.256,7,0.405882353,
14,Frank Tepedino,L,71,185,0.241,6,0.383783784,
15,Jerry Kutzler,L,73,175,0,0,0.417142857,
16,Rick Wise,R,73,180,0.195,15,0.405555556,
17,Darrell Evans,L,74,200,0.248,414,0.37,
18,Buck Martinez,R,70,190,0.225,58,0.368421053,
19,John Wockenfuss,R,72,190,0.262,86,0.378947368,
20,Tommy McCraw,L,72,183,0.246,75,0.393442623,
21,Jeff Barkley,B,75,185,0,0,0.405405405,
22,Eric Wilkins,R,73,190,0,0,0.384210526,
23,Britt Burns,L,77,215,0,0,0.358139535,
24,Lee Lacy,R,73,175,0.286,91,0.417142857,
25,Pete Rose,B,71,192,0.303,160,0.369791667,
26,Danny Walton,R,72,195,0.223,28,0.369230769,
27,Bobby Cox,R,71,180,0.225,9,0.394444444,
28,Brad Wellman,R,72,170,0.231,6,0.423529412,
29,Jeff Newman,R,74,215,0.224,63,0.344186047,
30,Pedro Gonzalez,R,72,176,0.244,8,0.409090909,
31,Nardi Contreras,B,74,193,0,0,0.383419689,
32,Tommie Reynolds,R,74,190,0.226,12,0.389473684,
33,Gene Clines,R,69,170,0.277,5,0.405882353,
34,Jim Hickman,R,75,192,0.252,159,0.390625,
35,Jack Billingham,R,76,195,0.111,0,0.38974359,
36,Jerry Buchek,R,71,185,0.22,22,0.383783784,
37,Ivan DeJesus,R,71,175,0.254,21,0.405714286,
38,Gary Nolan,R,74,197,0.138,1,0.375634518,
39,Gil Patterson,R,73,185,0,0,0.394594595,
40,Fred Whitfield,L,73,190,0.253,108,0.384210526,
41,Larry Dierker,R,76,215,0.136,4,0.353488372,
42,Dave Skaggs,R,74,200,0.241,3,0.37,
43,Dick Ruthven,R,75,190,0.183,1,0.394736842,
44,Jerry Garvin,L,75,195,0,0,0.384615385,
45,Steve Eddy,R,74,185,0,0,0.4,
46,Dave Kingman,R,78,210,0.236,442,0.371428571,
47,Eric Soderholm,R,71,187,0.264,102,0.379679144,
48,Kevin Mmahat,L,77,220,0,0,0.35,
49,Ed Brinkman,R,72,170,0.224,60,0.423529412,
50,Wayne Garrett,L,71,175,0.239,61,0.405714286,
51,Tony Muser,L,74,180,0.259,7,0.411111111,
52,Jim Siwy,R,76,200,0,0,0.38,
53,Bud Anderson,R,75,210,0,0,0.357142857,
54,Ted Ford,R,70,180,0.219,17,0.388888889,
55,Kevin Stanfield,L,72,190,0,0,0.378947368,
56,Jim Lyttle,L,72,180,0.248,9,0.4,
57,John Butcher,R,76,185,0,0,0.410810811,
58,Jerry Ujdur,R,73,195,0,0,0.374358974,
59,Scot Thompson,L,75,195,0.262,5,0.384615385,
60,Gene Locklear,L,70,165,0.274,9,0.424242424,
61,Bo Diaz,R,71,185,0.255,87,0.383783784,
62,Bump Wills,B,69,172,0.266,36,0.401162791,
63,Brian Denman,R,76,205,0,0,0.370731707,
64,Pat Putnam,L,72,205,0.255,63,0.351219512,
65,Kurt Bevacqua,R,72,180,0.236,27,0.4,
66,Bob Fallon,L,75,200,0,0,0.375,
67,Syd O'Brien,R,73,185,0.23,24,0.394594595,
68,Chris Chambliss,L,73,195,0.279,185,0.374358974,
69,Tom Satriano,L,73,185,0.225,21,0.394594595,
70,Jeffrey Leonard,R,74,200,0.266,144,0.37,
71,Dal Maxvill,R,71,157,0.217,6,0.452229299,
72,Steve Curry,R,78,217,0,0,0.359447005,
73,Cesar Tovar,R,69,155,0.278,46,0.44516129,
74,Mickey Lolich,B,73,170,0.11,0,0.429411765,
75,Ray Chadwick,B,74,180,0,0,0.411111111,
76,Jack Heidemann,R,72,175,0.211,9,0.411428571,
77,Rich Rollins,R,70,185,0.269,77,0.378378378,
78,Walt Bond,L,79,228,0.256,41,0.346491228,
79,Merv Rettenmund,R,70,190,0.271,66,0.368421053,
80,Bryan Clutterbuck,R,76,223,0,0,0.340807175,
81,Byron Browne,R,74,190,0.236,30,0.389473684,
82,Hector Torres,R,72,175,0.216,18,0.411428571,
83,Walt Williams,R,66,165,0.27,33,0.4,
84,Jerry Koosman,R,74,205,0.119,2,0.36097561,
85,Steve Lombardozzi,R,72,175,0.233,20,0.411428571,
86,Joe Azcue,R,72,190,0.252,50,0.378947368,
87,Elliott Maddox,R,71,180,0.261,18,0.394444444,
88,Omar Moreno,L,74,180,0.252,37,0.411111111,
89,Julian Javier,R,73,175,0.257,78,0.417142857,
90,Tony Ferreira,L,73,160,0,0,0.45625,
91,Elio Chacon,R,69,160,0.232,4,0.43125,
92,Rusty Torres,B,70,175,0.212,35,0.4,
93,John Stearns,R,72,185,0.26,46,0.389189189,
94,Larry Brown,R,70,160,0.233,47,0.4375,
95,Tommy Dean,R,72,165,0.18,4,0.436363636,
96,Bryan Oelkers,L,75,192,0,0,0.390625,
97,Kevin Bearse,L,74,195,0,0,0.379487179,
98,Marty Martinez,B,72,170,0.243,0,0.423529412,
99,Bruce Boisclair,L,74,185,0.263,10,0.4,
100,Ken Singleton,B,76,210,0.282,246,0.361904762,
101,Frank White,R,71,165,0.255,160,0.43030303,
102,Jim Fairey,L,70,190,0.235,7,0.368421053,
103,Jose Roman,R,72,175,0,0,0.411428571,
104,Tom Brookens,R,70,165,0.246,71,0.424242424,
105,Gary Thomasson,L,73,180,0.249,61,0.405555556,
106,Mike Trujillo,R,73,180,0,0,0.405555556,
107,Albert Williams,R,76,190,0,0,0.4,
108,Oswaldo Peraza,R,76,172,0,0,0.441860465,
109,Otto Velez,R,72,170,0.251,78,0.423529412,
110,Tony Scott,B,72,164,0.249,17,0.43902439,
111,Ray Oyler,R,71,165,0.175,15,0.43030303,
112,Barry Cort,R,77,210,0,0,0.366666667,
113,Floyd Robinson,L,69,175,0.283,67,0.394285714,
114,Steve Jeltz,B,71,180,0.21,5,0.394444444,
115,Lou Brock,L,71,170,0.293,149,0.417647059,
116,Bill Wilkinson,R,70,160,0,0,0.4375,
117,Joe Lovitto,B,72,185,0.216,4,0.389189189,
118,Mike Loynd,R,76,210,0,0,0.361904762,
119,Wayne Comer,R,70,175,0.229,16,0.4,
120,Dave Collins,B,71,175,0.272,32,0.405714286,
121,Ed Spiezio,R,71,180,0.238,39,0.394444444,
122,Rico Petrocelli,R,72,175,0.251,210,0.411428571,
123,Johnny Lewis,L,73,189,0.227,22,0.386243386,
124,Dick Simpson,R,76,176,0.207,15,0.431818182,
125,Ken Boswell,L,72,170,0.248,31,0.423529412,
126,Ken McMullen,R,75,190,0.248,156,0.394736842,
127,Randy Scarbery,B,73,185,0,0,0.394594595,
128,Steve Swisher,R,74,205,0.216,20,0.36097561,
129,Ben Callahan,R,79,230,0,0,0.343478261,
130,Dick Howser,R,68,155,0.248,16,0.438709677,
131,Manny Castillo,B,69,160,0.242,3,0.43125,
132,Mike Ramsey,B,73,170,0.24,2,0.429411765,
133,Willie Crawford,L,73,197,0.268,86,0.370558376,
134,Bobby Cuellar,R,71,188,0,0,0.377659574,
135,Willie Norwood,R,72,185,0.242,18,0.389189189,
136,Mike Jones,L,78,215,0,0,0.362790698,
137,Jeff Stone,L,72,175,0.277,11,0.411428571,
138,Ramon Manon,R,72,150,0,0,0.48,
139,Joe Lahoud,L,73,198,0.223,65,0.368686869,
140,Tim Flannery,L,71,175,0.255,9,0.405714286,
141,Dave McKay,B,73,195,0.229,21,0.374358974,
142,John Trautwein,R,75,205,0,0,0.365853659,
143,Andy Replogle,R,77,205,0,0,0.375609756,
144,Zach Crouch,L,75,180,0,0,0.416666667,
145,Benny Ayala,R,73,185,0.251,38,0.394594595,
146,Ron Romanick,R,76,195,0,0,0.38974359,
147,Greg Gross,L,70,160,0.287,7,0.4375,
148,Bruce Tanner,L,75,220,0,0,0.340909091,
