sno,name,handedness,height,weight,average,HR,ratio,bodyindex,bodytype
1,Tom Brown,RIGHT,73,170,0,0,0.429411765,1,MODERATE
2,Denny Lemaster,RIGHT,73,182,0.13,4,0.401098901,1,MODERATE
3,Joe Nolan,LEFT,71,175,0.263,27,0.405714286,1,MODERATE
4,Denny Doyle,LEFT,69,175,0.25,16,0.394285714,1,MODERATE
5,Jose Cardenal,RIGHT,70,150,0.275,138,0.466666667,2,LEAN
6,Mike Ryan,RIGHT,74,205,0.193,28,0.36097561,0,HEAVY
7,Fritz Peterson,BOTH,72,185,0.159,2,0.389189189,1,MODERATE
8,Dick Bertell,RIGHT,72,200,0.25,10,0.36,0,HEAVY
9,Rod Kanehl,RIGHT,73,180,0.241,6,0.405555556,1,MODERATE
10,Ozzie Osborn,RIGHT,74,195,0,0,0.379487179,1,MODERATE
11,John LaRose,LEFT,73,185,0,0,0.394594595,1,MODERATE
12,Jeff Byrd,RIGHT,75,195,0,0,0.384615385,1,MODERATE
13,Juan Bonilla,RIGHT,69,170,0.256,7,0.405882353,1,MODERATE
14,Frank Tepedino,LEFT,71,185,0.241,6,0.383783784,1,MODERATE
15,Jerry Kutzler,LEFT,73,175,0,0,0.417142857,1,MODERATE
16,Rick Wise,RIGHT,73,180,0.195,15,0.405555556,1,MODERATE
17,Darrell Evans,LEFT,74,200,0.248,414,0.37,0,HEAVY
18,Buck Martinez,RIGHT,70,190,0.225,58,0.368421053,0,HEAVY
19,John Wockenfuss,RIGHT,72,190,0.262,86,0.378947368,0,HEAVY
20,Tommy McCraw,LEFT,72,183,0.246,75,0.393442623,1,MODERATE
21,Jeff Barkley,BOTH,75,185,0,0,0.405405405,1,MODERATE
22,Eric Wilkins,RIGHT,73,190,0,0,0.384210526,1,MODERATE
23,Britt Burns,LEFT,77,215,0,0,0.358139535,0,HEAVY
24,Lee Lacy,RIGHT,73,175,0.286,91,0.417142857,1,MODERATE
25,Pete Rose,BOTH,71,192,0.303,160,0.369791667,0,HEAVY
26,Danny Walton,RIGHT,72,195,0.223,28,0.369230769,0,HEAVY
27,Bobby Cox,RIGHT,71,180,0.225,9,0.394444444,1,MODERATE
28,Brad Wellman,RIGHT,72,170,0.231,6,0.423529412,1,MODERATE
29,Jeff Newman,RIGHT,74,215,0.224,63,0.344186047,0,HEAVY
30,Pedro Gonzalez,RIGHT,72,176,0.244,8,0.409090909,1,MODERATE
31,Nardi Contreras,BOTH,74,193,0,0,0.383419689,1,MODERATE
32,Tommie Reynolds,RIGHT,74,190,0.226,12,0.389473684,1,MODERATE
